item_code,item_name,manufacturer,description,quantity,unit_of_measure
7290008068512,בייבי פסטה - קרם החתלה קמומיל 100 גרם,לא ידוע,בייבי פסטה - קרם החתלה קמומיל 100 גרם,100,199 גרם
7290008084956,בייבי פסטה - קרם להחתלה 120 גרם,לא ידוע,בייבי פסטה - קרם להחתלה 120 גרם,120,199 גרם
7290008102377,טאמס - אולטרה פירות יער 160 טבליות,לא ידוע,טאמס - אולטרה פירות יער 160 טבליות,160,1 יח'
7290008464611,"טמפו - מי סודה בגיזוז חזק 275 מ""ל",לא ידוע,"טמפו - מי סודה בגיזוז חזק 275 מ""ל",275,"100 מ""ל"
7290008748384,"עלית - ספלנדיד מריר 70% 100 גרם לל""ג",שטראוס גרופ,"עלית - ספלנדיד מריר 70% 100 גרם לל""ג",100,100 גרם
7290010038947,"פמינה - תחליב רחצה אינטימי פצ'ולי וניל 220 מ""ל",כצט,"פמינה - תחליב רחצה אינטימי פצ'ולי וניל 220 מ""ל",220,"100 מ""ל"
7290010237531,"פפסי - בקבוק 500 מ""ל",לא ידוע,"פפסי - בקבוק 500 מ""ל",500,"100 מ""ל"
7290010237548,"פפסי זירו - בקבוק 500 מ""ל",לא ידוע,"פפסי זירו - בקבוק 500 מ""ל",500,"100 מ""ל"
7290010293575,GOOD PHARM - כוסות נייר לאספרסו 50 יח',לא ידוע,GOOD PHARM - כוסות נייר לאספרסו 50 יח',50,1 יח'
7290010318827,אלטמן - מגנזיום ציטראט 60 כמוסות,"SOMA LABS, INC.",אלטמן - מגנזיום ציטראט 60 כמוסות,60,1 יח'
7290010570737,"אוליב - קרם רגליים מועשר בשמן זית 150 מ""ל",לא ידוע,"אוליב - קרם רגליים מועשר בשמן זית 150 מ""ל",150,"100 מ""ל"
7290010570959,בסט - טישו ממחטות אף רכות ומלטפות עשירייה,לא ידוע,בסט - טישו ממחטות אף רכות ומלטפות עשירייה,10,1 יח'
7290010859283,פניסטיל - ג'ל 30 גרם,לא ידוע,פניסטיל - ג'ל 30 גרם,30,100 גרם
7290011017866,"קוקה קולה - פחית 330 מ""ל",לא ידוע,"קוקה קולה - פחית 330 מ""ל",330,"100 מ""ל"
7290011017873,"קולה קולה - זירו פחית 330 מ""ל",לא ידוע,"קולה קולה - זירו פחית 330 מ""ל",330,"100 מ""ל"
7290011461058,"מוסקו - מבשם מפיץ ריח 100 מ""ל",לא ידוע,"מוסקו - מבשם מפיץ ריח 100 מ""ל",100,"100 מ""ל"
7290011598211,"סנו - אנטי קאלק מרסס ניקוי כללי 4 ב-1 700 מ""ל",לא ידוע,"סנו - אנטי קאלק מרסס ניקוי כללי 4 ב-1 700 מ""ל",700,"100 מ""ל"
7290011607180,"קולון - אבקת כביסה 1.25 ק""ג",לא ידוע,"קולון - אבקת כביסה 1.25 ק""ג",1250,100 גרם
7290011870225,פוג'יקום - סוללות AAA רביעייה,לא ידוע,פוג'יקום - סוללות AAA רביעייה,4,1 יח'
7290013083678,מטרנה - אקסטרה קר שלב 2 700 גרם,לא ידוע,מטרנה - אקסטרה קר שלב 2 700 גרם,700,100 גרם
7290013092557,בפנטן - בייבי משחת החתלה 100 גרם,לא ידוע,בפנטן - בייבי משחת החתלה 100 גרם,100,100 גרם
7290013092571,בפנטן - פלוס קרם 30 גרם,לא ידוע,בפנטן - פלוס קרם 30 גרם,30,100 גרם
7290013269621,סנו ריצפז - פרש הום מלון בוטיק 2 ליטר,לא ידוע,סנו ריצפז - פרש הום מלון בוטיק 2 ליטר,2000,"100 מ""ל"
7290013269751,סנו ריצפז - מטליות בניחוח מלון בוטיק 10 יח',לא ידוע,סנו ריצפז - מטליות בניחוח מלון בוטיק 10 יח',10,1 יח'
7290013269850,'סושי נייר אפיה אקוולוגי 50יח,לא ידוע,'סושי נייר אפיה אקוולוגי 50יח,50,1 יח'
7290013412300,נועם - חיתולי סופט אול נייט לארג' 15 יח',לא ידוע,נועם - חיתולי סופט אול נייט לארג' 15 יח',15,1 יח'
7290013412409,טופ פד - תחבושות לספיגה מוגברת 15 יח',לא ידוע,טופ פד - תחבושות לספיגה מוגברת 15 יח',15,1 יח'
7290013848758,סנו מקסימה - ג'ל כביסה מרוכז בייבי 3 ליטר,לא ידוע,סנו מקסימה - ג'ל כביסה מרוכז בייבי 3 ליטר,3000,"100 מ""ל"
7290014397835,סנו מט - מכשיר דוחה יתושים נוזלי + מילוי 45 לילות,לא ידוע,סנו מט - מכשיר דוחה יתושים נוזלי + מילוי 45 לילות,1,1 יח'
7290014636705,סוליי - כרית ויסקו,"מנהטן אריגי עמר בע""מ",סוליי - כרית ויסקו,1,0000000000
7290014637283,"מנהטן - מגבת גוף 68*125 ס""מ","מנהטן אריגי עמר בע""מ","מנהטן - מגבת גוף 68*125 ס""מ",1,1 יח'
7290014728189,פיור סופלימנטס - מגנזיום ביסגליצינאט 90 כמוסות,Pure Supplemnets,פיור סופלימנטס - מגנזיום ביסגליצינאט 90 כמוסות,90,1 יח'
7290015176378,פוג'יקום - מברשת שיניים חשמלית סגול,לא ידוע,פוג'יקום - מברשת שיניים חשמלית סגול,1,1 יח'
7290015366663,"אקווה פרש - משחת שיניים מנטה עדין 100 מ""ל",גלקסו,"אקווה פרש - משחת שיניים מנטה עדין 100 מ""ל",100,"100 מ""ל"
7290016117431,GOOD PHARM - כרית מתכת 4 יח',לא ידוע,GOOD PHARM - כרית מתכת 4 יח',4,1 יח'
7290016299168,"ארגניה - סרום קיק לחיזוק שורש השערה 100 מ""ל",לא ידוע,"ארגניה - סרום קיק לחיזוק שורש השערה 100 מ""ל",100,"100 מ""ל"
7290016299618,"ארגניה - שמפו קיק ללא מלחים 450 מ""ל",לא ידוע,"ארגניה - שמפו קיק ללא מלחים 450 מ""ל",450,"100 מ""ל"
7290016299755,"ארגניה - מרכך קיק ללא מלחים 400 מ""ל",לא ידוע,"ארגניה - מרכך קיק ללא מלחים 400 מ""ל",400,"100 מ""ל"
7290016299878,"ארגניה - מסכה טיפולית לשיער מועשר בחומצה היאלרונית וקרטין ללא מלחים 500 מ""ל",לא ידוע,"ארגניה - מסכה טיפולית לשיער מועשר בחומצה היאלרונית וקרטין ללא מלחים 500 מ""ל",500,"100 מ""ל"
7290016372373,"בלה איטליה - רסק עגבניות 140 גרם * זוג כשל""פ",לא ידוע,"בלה איטליה - רסק עגבניות 140 גרם * זוג כשל""פ",280,100 גרם
7290016509809,פרסיל - ג'ל כביסה קולור 2.50 ליטר,לא ידוע,פרסיל - ג'ל כביסה קולור 2.50 ליטר,2500,"100 מ""ל"
7290016566178,"מוסקו - בקבוק שתייה טריטן ילדים 700 מ""ל",לא ידוע,"מוסקו - בקבוק שתייה טריטן ילדים 700 מ""ל",1,1 יח'
7290016866674,"פרודונטקס - משחת שיניים מלבינה 75 מ""ל",גלקסו,"פרודונטקס - משחת שיניים מלבינה 75 מ""ל",75,"100 מ""ל"
7290017088501,טופ פד - תחבושות אקסטרה לונג 20 יח',לא ידוע,טופ פד - תחבושות אקסטרה לונג 20 יח',20,1 יח'
7290017253206,GOOD PHARM - רביעיית מגבונים לחים פרימיום בייבי,לא ידוע,GOOD PHARM - רביעיית מגבונים לחים פרימיום בייבי,288,1 יח'
7290017253220,GOOD PHARM - רביעיית מגבונים לחים בייבי,לא ידוע,GOOD PHARM - רביעיית מגבונים לחים בייבי,288,1 יח'
7290017457727,"סוד - מרכך כביסה מרוכז פרש סקיי 850 מ""ל",לא ידוע,"סוד - מרכך כביסה מרוכז פרש סקיי 850 מ""ל",850,"100 מ""ל"
7290017457734,"סוד - מרכך כביסה מרוכז ווילד רוז 850 מ""ל",לא ידוע,"סוד - מרכך כביסה מרוכז ווילד רוז 850 מ""ל",850,"100 מ""ל"
7290017582047,GOOD PHARM - פינצטה ישרה,"ווי, גי, לימיטד בע""מ",GOOD PHARM - פינצטה ישרה,1,1 יח'
7290017582085,GOOD PHARM - קוצץ ציפורניים גדול,"ווי, גי, לימיטד בע""מ",GOOD PHARM - קוצץ ציפורניים גדול,1,1 יח'
7290017617688,סטארקיסט - דלי נתחי פילה טונה בשמן זית בנגיעות לימון ופלפל שחור 120 גרם,תאי יוניון,סטארקיסט - דלי נתחי פילה טונה בשמן זית בנגיעות לימון ופלפל שחור 120 גרם,120,100 גרם
7290017888347,"מי עדן - מים מינרליים בקבוק ספורט 500 מ""ל",לא ידוע,"מי עדן - מים מינרליים בקבוק ספורט 500 מ""ל",500,"100 מ""ל"
7290018028858,"פאראמקס - אציטון 100% 250 מ""ל",לא ידוע,"פאראמקס - אציטון 100% 250 מ""ל",250,"100 מ""ל"
7290018043134,אול אין - חטיף פרוטאין בטעם שוקולד לבן עוגיות 60 גרם,לא ידוע,אול אין - חטיף פרוטאין בטעם שוקולד לבן עוגיות 60 גרם,60,100 גרם
7290018183175,GOOD PHARM - ערכה ביתית לבדיקת הריון,לא ידוע,GOOD PHARM - ערכה ביתית לבדיקת הריון,1,1 יח'
7290018183458,GOOD PHARM - פלסטר שקוף 30 יח',לא ידוע,GOOD PHARM - פלסטר שקוף 30 יח',30,1 יח'
7290018343296,"ד""ר פישר - אלכוג'ל 100 מ""ל",לא ידוע,"ד""ר פישר - אלכוג'ל 100 מ""ל",100,"100 מ""ל"
7290018703076,אול אין - חטיף פרוטאין בטעם דאבל שוקולד 60 גרם,לא ידוע,אול אין - חטיף פרוטאין בטעם דאבל שוקולד 60 גרם,60,100 גרם
7290018781036,GOOD PHARM - מקלוני אוזניים ידידותיים לסביבה 200 יח',"ויאה בע""מ",GOOD PHARM - מקלוני אוזניים ידידותיים לסביבה 200 יח',200,1 יח'
7290018781203,GOOD PHARM - מדחום דיגיטלי מהיר וגמיש 10 שניות,לא ידוע,GOOD PHARM - מדחום דיגיטלי מהיר וגמיש 10 שניות,1,1 יח'
7290018781289,GOOD PHARM - מטליות לחות לניקוי הרצפה בניחוח Lutesia Blossom,לא ידוע,GOOD PHARM - מטליות לחות לניקוי הרצפה בניחוח Lutesia Blossom,10,1 יח'
7290018781661,"GOOD PHARM - אלכוהול 70% לניקוי משטחי עבודה 100 מ""ל",לא ידוע,"GOOD PHARM - אלכוהול 70% לניקוי משטחי עבודה 100 מ""ל",100,"100 מ""ל"
7290018781807,GOOD PHARM - מארז מיכלים למילוי לנסיעות 7 יח',"זיאן גי אף, אלטי.די",GOOD PHARM - מארז מיכלים למילוי לנסיעות 7 יח',7,1 יח'
7290018781883,GOOD PHARM - קיסמי שיניים משולבים חוט דנטלי בטעם מנטה 40 יח',"וין טרייד, אל.טי.די",GOOD PHARM - קיסמי שיניים משולבים חוט דנטלי בטעם מנטה 40 יח',40,1 יח'
7290018921609,"ד""ר פישר - קמיל בלו קרם החתלה קלנדולה 120 גרם",לא ידוע,"ד""ר פישר - קמיל בלו קרם החתלה קלנדולה 120 גרם",120,199 גרם
7290018921807,"ד""ר פישר - קמיל בלו קרם החתלה צמחי מרפא 120 גרם",לא ידוע,"ד""ר פישר - קמיל בלו קרם החתלה צמחי מרפא 120 גרם",120,199 גרם
7290019251279,GOOD PHARM - נייר אפייה מארז 50 יח',לא ידוע,GOOD PHARM - נייר אפייה מארז 50 יח',50,1 יח'
7290019310686,אול אין - חטיף פרוטאין סופט שוקולד לבן בוטנים קרמל 55 גרם,לא ידוע,אול אין - חטיף פרוטאין סופט שוקולד לבן בוטנים קרמל 55 גרם,55,100 גרם
7290019372721,GOOD PHARM  - משקל דיגיטלי שחור,לא ידוע,GOOD PHARM  - משקל דיגיטלי שחור,1,1 יח'
7290019372882,GOOD PHARM - פד אלכוהול 100 יח',לא ידוע,GOOD PHARM - פד אלכוהול 100 יח',100,1 יח'
7290019442134,GOOD PHARM - מנקה לשון,לא ידוע,GOOD PHARM - מנקה לשון,1,1 יח'
7290019442387,GOOD PHARM - מגבות יבשות לניקוי הפנים לשימוש חד פעמי 50 יח',לא ידוע,GOOD PHARM - מגבות יבשות לניקוי הפנים לשימוש חד פעמי 50 יח',50,1 יח'
7290019442479,"GOOD PHARM - שמן שקדים טהור 100 מ""ל",לא ידוע,"GOOD PHARM - שמן שקדים טהור 100 מ""ל",100,"100 מ""ל"
7290019442783,GOOD PHARM - מגבוני טואלט לחים נשטפים באסלה 48 יח' * שלישייה,לא ידוע,GOOD PHARM - מגבוני טואלט לחים נשטפים באסלה 48 יח' * שלישייה,144,1 יח'
7290019501381,"ד""ר פישר - סרקל תרסיס מתיר קשרים 340 מ""ל",לא ידוע,"ד""ר פישר - סרקל תרסיס מתיר קשרים 340 מ""ל",340,"100 מ""ל"
7290019502258,"ד""ר פישר - אפקטיב קר קרם לחות רב שימושי קולגן פרו 200 מ""ל",לא ידוע,"ד""ר פישר - אפקטיב קר קרם לחות רב שימושי קולגן פרו 200 מ""ל",200,"100 מ""ל"
7290019515012,GOOD PHARM - מייבש לק,לא ידוע,GOOD PHARM - מייבש לק,1,1 יח'
7290019682189,הוויאנס - כפכפים מיקס,HAVAIANAS,הוויאנס - כפכפים מיקס,1,1 יח'
7290019750215,עלמה - מטלית מיקרופייבר לניקוי והברקת חלונות,לא ידוע,עלמה - מטלית מיקרופייבר לניקוי והברקת חלונות,1,1 יח'
7290019750949,עלמה - כריות יפניות ללא שריטות 6 יח',לא ידוע,עלמה - כריות יפניות ללא שריטות 6 יח',6,1 יח'
7290019766735,אול אין - חטיף פרוטאין קרמי עוגת גבינה וקרם לימון 42 גרם,לא ידוע,אול אין - חטיף פרוטאין קרמי עוגת גבינה וקרם לימון 42 גרם,42,100 גרם
7290019771029,GOOD PHARM - לק מס' 15 אדום,לא ידוע,GOOD PHARM - לק מס' 15 אדום,1,1 יח'
7290019771036,GOOD PHARM - גומיות שחורות פתוחות 20 יח',לא ידוע,GOOD PHARM - גומיות שחורות פתוחות 20 יח',20,1 יח'
7290019771937,בליס - מברשת שיער ספרים עם שיער צבע אפרסק,לא ידוע,בליס - מברשת שיער ספרים עם שיער צבע אפרסק,1,1 יח'
7290019870692,לוקיטוס - סוכריות על מקל בטעמי פירות במילוי חמוץ 170 גרם,נפוליאון,לוקיטוס - סוכריות על מקל בטעמי פירות במילוי חמוץ 170 גרם,170,100 גרם
7290019950363,GOOD PHARM - רצועת הדבקה מעצבת לחזה,לא ידוע,GOOD PHARM - רצועת הדבקה מעצבת לחזה,1,1 יח'
7290019950509,GOOD PHARM - רפידות הגנה לעקב 5 יח',לא ידוע,GOOD PHARM - רפידות הגנה לעקב 5 יח',5,1 יח'
7290019950578,"GOOD PHARM - שלישיית אל סבון נוזלי לידיים לבנדר 500 מ""ל חלבי",לא ידוע,"GOOD PHARM - שלישיית אל סבון נוזלי לידיים לבנדר 500 מ""ל חלבי",1500,"100 מ""ל"
7290019950592,"GOOD PHARM - שלישיית אל סבון נוזלי לידיים אוקיינוס 500 מ""ל חלבי",לא ידוע,"GOOD PHARM - שלישיית אל סבון נוזלי לידיים אוקיינוס 500 מ""ל חלבי",1500,"100 מ""ל"
7290019950684,GOOD PHARM - פלסטר שקוף ניילון בגליל,לא ידוע,GOOD PHARM - פלסטר שקוף ניילון בגליל,1,1 יח'
7290019950813,GOOD PHARM - מברשת מצמידה גדולה לעיצוב וקיבוע השיער,לא ידוע,GOOD PHARM - מברשת מצמידה גדולה לעיצוב וקיבוע השיער,1,1 יח'
7290019950851,GOOD PHARM - קליפסים חזקים בעיצוב מלבני שחור מט זוג,לא ידוע,GOOD PHARM - קליפסים חזקים בעיצוב מלבני שחור מט זוג,2,1 יח'
7290019950882,GOOD PHARM - שלישיית סכיני גילוח לעיצוב הגבות,לא ידוע,GOOD PHARM - שלישיית סכיני גילוח לעיצוב הגבות,3,1 יח'
7290019950936,GOOD PHARM - קליפסים חזקים בעיצוב מלבני ניוד זוג,לא ידוע,GOOD PHARM - קליפסים חזקים בעיצוב מלבני ניוד זוג,2,1 יח'
7290019950950,GOOD PHARM - מטליות לחות לניקוי הרצפה בניחוח Cloudkiss,לא ידוע,GOOD PHARM - מטליות לחות לניקוי הרצפה בניחוח Cloudkiss,10,1 יח'
7290019950981,GOOD PHARM - לק טופ,לא ידוע,GOOD PHARM - לק טופ,1,1 יח'
7290020228567,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה ארומטי 2.7 ליטר,פרפיום,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה ארומטי 2.7 ליטר,2700,"100 מ""ל"
7290020228581,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה בייבי 2.7 ליטר,פרפיום,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה בייבי 2.7 ליטר,2700,"100 מ""ל"
7290020228604,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה מאסק פלאוורס 2.7 ליטר,פרפיום,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה מאסק פלאוורס 2.7 ליטר,2700,"100 מ""ל"
7290020228628,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה אלגנס 2.7 ליטר,פרפיום,כביסכל - נוזל כביסה ג'מבו עם ביו פרוביוטיקה אלגנס 2.7 ליטר,2700,"100 מ""ל"
7290020363008,קלינידנט - טבליות לניקוי שיניים תותבות 66 יח',הלגו פארמה,קלינידנט - טבליות לניקוי שיניים תותבות 66 יח',66,1 יח'
7290020529589,מוסקו - כובע רחצה שתי שכבות כחול נקודות,מוסקו,מוסקו - כובע רחצה שתי שכבות כחול נקודות,1,1 יח'
7290020529596,מוסקו - כובע רחצה שתי שכבות לבן נקודות,מוסקו,מוסקו - כובע רחצה שתי שכבות לבן נקודות,1,1 יח'
7290100687109,אוסם - במבה במילוי קרם נוגט 60 גרם,לא ידוע,אוסם - במבה במילוי קרם נוגט 60 גרם,60,100 גרם
7290101551027,עלית - קפסולות קפה 14 חזק ועוצמתי 10 יח',שטראוס גרופ,עלית - קפסולות קפה 14 חזק ועוצמתי 10 יח',10,1 יח'
7290101826521,הרקולס - כפפות ניטריל ללא אבקה מדיום 100 יח',לא ידוע,הרקולס - כפפות ניטריל ללא אבקה מדיום 100 יח',100,1 יח'
7290101826538,הרקולס - כפפות ניטריל ללא אבקה לארג' 100 יח',לא ידוע,הרקולס - כפפות ניטריל ללא אבקה לארג' 100 יח',100,1 יח'
7290101864127,"וניש - ספריי להסרת כתמים 750 מ""ל",לא ידוע,"וניש - ספריי להסרת כתמים 750 מ""ל",750,"100 מ""ל"
7290101865261,"פיניש - נוזל הברקה למדיח 800 מ""ל",לא ידוע,"פיניש - נוזל הברקה למדיח 800 מ""ל",800,"100 מ""ל"
7290101868507,"נורופון - ג'ל 200 מ""ג 10 קפסולות",לא ידוע,"נורופון - ג'ל 200 מ""ג 10 קפסולות",10,1 יח'
7290101869726,פיניש - ג'ל למדיח כלים 1 ליטר,לא ידוע,פיניש - ג'ל למדיח כלים 1 ליטר,1000,"100 מ""ל"
7290101928218,GOOD PHARM - כוסות נייר לשתייה חמה 50 יח',לא ידוע,GOOD PHARM - כוסות נייר לשתייה חמה 50 יח',50,1 יח'
7290103120658,ספיד סטיק - דאודורנט ג'ל שחור לגבר 24/7 85 גרם,COLGATE PALMOLIVE,ספיד סטיק - דאודורנט ג'ל שחור לגבר 24/7 85 גרם,85,100 גרם
7290103129392,ליידי ספיד סטיק - דאודורנט סטיק לאישה פרש אסנס פרח הפרזיה 65 גרם,COLGATE PALMOLIVE,ליידי ספיד סטיק - דאודורנט סטיק לאישה פרש אסנס פרח הפרזיה 65 גרם,65,100 גרם
7290104960253,"נקה 7 - תחליב רחצה לבנדר 750 מ""ל",לא ידוע,"נקה 7 - תחליב רחצה לבנדר 750 מ""ל",750,"100 מ""ל"
7290104965739,"קרליין - שמפו 10 מאצ'ה ומלפפון 700 מ""ל",לא ידוע,"קרליין - שמפו 10 מאצ'ה ומלפפון 700 מ""ל",700,"100 מ""ל"
7290104965746,"קרליין - מרכך 10 מאצה ומלפפון 700 מ""ל",לא ידוע,"קרליין - מרכך 10 מאצה ומלפפון 700 מ""ל",700,"100 מ""ל"
7290104969935,"קרליין - פאוור סי קרם יום 50 מ""ל",לא ידוע,"קרליין - פאוור סי קרם יום 50 מ""ל",50,"100 מ""ל"
7290105360328,עלית - קפסולות קפה 10 חזק ועוצמתי 10 יח',חברת המשקם לתעסוקת קשישים ובעלי כוש,עלית - קפסולות קפה 10 חזק ועוצמתי 10 יח',10,1 יח'
7290105360335,עלית - קפסולות קפה 07 עדין וקטיפתי 10 יח',לא ידוע,עלית - קפסולות קפה 07 עדין וקטיפתי 10 יח',10,1 יח'
7290105362377,עלית - חטיף כיף כף 45 גרם,שטראוס גרופ,עלית - חטיף כיף כף 45 גרם,45,100 גרם
7290105434050,ספיד סטיק - דאודורנט סטיק לגבר XL רגולר 85 גרם,COLGATE PALMOLIVE,ספיד סטיק - דאודורנט סטיק לגבר XL רגולר 85 גרם,85,100 גרם
7290105961525,עלית - ספלנדיד מריר 85% 100 גרם,שטראוס גרופ,עלית - ספלנדיד מריר 85% 100 גרם,100,100 גרם
7290106658479,עלית - חטיף טורטית 40 גרם,שטראוס גרופ,עלית - חטיף טורטית 40 גרם,40,100 גרם
7290106669857,עלית - קפסולות קפה וניל 10 יח',שטראוס גרופ,עלית - קפסולות קפה וניל 10 יח',10,1 יח'
7290107280570,סנו מקסימה - ג'ל כביסה מרוכז לכביסה צבעונית 3 ליטר,לא ידוע,סנו מקסימה - ג'ל כביסה מרוכז לכביסה צבעונית 3 ליטר,3000,"100 מ""ל"
7290107953559,עלית - קפה טורקי לדרך 24 יח',חברת המשקם לתעסוקת קשישים ובעלי כוש,עלית - קפה טורקי לדרך 24 יח',24,1 יח'
7290107956901,עלית - קפסולות קפה אגוזי לוז 10 יח',שטראוס גרופ,עלית - קפסולות קפה אגוזי לוז 10 יח',10,1 יח'
7290108201277,"נורופן - קוויק 256 מ""ג 16 טבליות",רקיט,"נורופן - קוויק 256 מ""ג 16 טבליות",16,1 יח'
7290108351699,סנו ג'ט - מטליות לחות לניקוי כללי בתוספת חומץ  ניחוח לבנדר 50 יח' שלישייה,לא ידוע,סנו ג'ט - מטליות לחות לניקוי כללי בתוספת חומץ  ניחוח לבנדר 50 יח' שלישייה,150,1 יח'
7290108352078,"אורביטול - מי פה מלח 500 מ""ל",לא ידוע,"אורביטול - מי פה מלח 500 מ""ל",500,"100 מ""ל"
7290108352900,סנו סושי - מגבות הפלא כפול 6 גלילים,לא ידוע,סנו סושי - מגבות הפלא כפול 6 גלילים,6,1 יח'
7290108353068,סנו סושי - כרית קירצוף עם סיבי נירוסטה 2 יח',לא ידוע,סנו סושי - כרית קירצוף עם סיבי נירוסטה 2 יח',2,1 יח'
7290108353099,סנו - סופט ממחטות אף 100 יח' * חמישייה,לא ידוע,סנו - סופט ממחטות אף 100 יח' * חמישייה,500,1 יח'
7290108353686,סנו סושי - מטלית חלומית לרצפה,לא ידוע,סנו סושי - מטלית חלומית לרצפה,1,1 יח'
7290108353952,"קרמה - דאודורנט ספריי לאישה קלאסי 150 מ""ל",סנו החברה הדרומית,"קרמה - דאודורנט ספריי לאישה קלאסי 150 מ""ל",150,"100 מ""ל"
7290108353990,"קרמה - קרם גוף מאסק 500 מ""ל",לא ידוע,"קרמה - קרם גוף מאסק 500 מ""ל",500,"100 מ""ל"
7290108354492,"קרליין - שמפו 10 שמן ארגן 700 מ""ל",לא ידוע,"קרליין - שמפו 10 שמן ארגן 700 מ""ל",700,"100 מ""ל"
7290108354584,"קרמה - דאודורנט ספריי לאישה 4 ב-1 ניחוח טלק 150 מ""ל",סנו החברה הדרומית,"קרמה - דאודורנט ספריי לאישה 4 ב-1 ניחוח טלק 150 מ""ל",150,"100 מ""ל"
7290108354713,"קרמה - תחליב רחצה קלאסי 500 מ""ל",לא ידוע,"קרמה - תחליב רחצה קלאסי 500 מ""ל",500,"100 מ""ל"
7290108355482,"קרמה - דאודורנט רול און לאישה לבנדר ואקליפטוס 75 מ""ל",סנו החברה הדרומית,"קרמה - דאודורנט רול און לאישה לבנדר ואקליפטוס 75 מ""ל",75,"100 מ""ל"
7290108355994,סנו מקסימה - מרכך כביסה מרוכז בייבי 1 ליטר,לא ידוע,סנו מקסימה - מרכך כביסה מרוכז בייבי 1 ליטר,1000,"100 מ""ל"
7290108356298,"כיף - מוס רחצה בניחוח קרם עוגיות 150 מ""ל",לא ידוע,"כיף - מוס רחצה בניחוח קרם עוגיות 150 מ""ל",150,"100 מ""ל"
7290108356489,"כיף - תחליב רחצה אפרסק וחמאת מורומורו 700 מ""ל",לא ידוע,"כיף - תחליב רחצה אפרסק וחמאת מורומורו 700 מ""ל",700,"100 מ""ל"
7290108356717,"כיף - מן אולטרה פאוור שמפו 3 ב-1 700 מ""ל",לא ידוע,"כיף - מן אולטרה פאוור שמפו 3 ב-1 700 מ""ל",700,"100 מ""ל"
7290108357226,"סנו אוקסיג'ן - אבקה עוצמתית להסרת כתמים קשים 1.4 ק""ג",לא ידוע,"סנו אוקסיג'ן - אבקה עוצמתית להסרת כתמים קשים 1.4 ק""ג",1400,100 גרם
7290108357417,"קרמה - קרם גוף ורד ווניל 500 מ""ל",לא ידוע,"קרמה - קרם גוף ורד ווניל 500 מ""ל",500,"100 מ""ל"
7290108357615,"קרמה - דאודורנט רול און לאישה אפרסק 75 מ""ל",קוסמופארם,"קרמה - דאודורנט רול און לאישה אפרסק 75 מ""ל",75,"100 מ""ל"
7290108357639,"קרליין - נושם ביו דאודורנט ספריי לאישה פרש מלפפון 150 מ""ל",לא ידוע,"קרליין - נושם ביו דאודורנט ספריי לאישה פרש מלפפון 150 מ""ל",150,"100 מ""ל"
7290108357707,"כיף - שמפו לשיער רגיל תפוח וזרעי צ'יה 700 מ""ל",לא ידוע,"כיף - שמפו לשיער רגיל תפוח וזרעי צ'יה 700 מ""ל",700,"100 מ""ל"
7290108357769,"כיף - מרכך לשיער רגיל תפוח וזרעי צ'יה 700 מ""ל",לא ידוע,"כיף - מרכך לשיער רגיל תפוח וזרעי צ'יה 700 מ""ל",700,"100 מ""ל"
7290108358384,סנו מקסימה - מרכך כביסה LOVELY COTTON מרוכז 1 ליטר,לא ידוע,סנו מקסימה - מרכך כביסה LOVELY COTTON מרוכז 1 ליטר,1000,"100 מ""ל"
7290108358667,סנו ריצפז - פרש הום פיור לאב 2 ליטר,סנו החברה הדרומית,סנו ריצפז - פרש הום פיור לאב 2 ליטר,2000,"100 מ""ל"
7290108359213,סנו - סופט נייר טואלט כפול 18 גלילים,לא ידוע,סנו - סופט נייר טואלט כפול 18 גלילים,18,1 יח'
7290108359268,סנו סושי - מטלית חלומית לניקוי כללי 3 יח',לא ידוע,סנו סושי - מטלית חלומית לניקוי כללי 3 יח',3,1 יח'
7290108359404,אורביטול - פול קאבר מברשת שיניים זוג,לא ידוע,אורביטול - פול קאבר מברשת שיניים זוג,2,1 יח'
7290109134949,"סולתם - מלקחיים גריל נירוסטה ראש סיליקון 27 ס""מ",לא ידוע,"סולתם - מלקחיים גריל נירוסטה ראש סיליקון 27 ס""מ",1,1 יח'
7290109137483,"סולתם - פיקולו קלחת מיני ציפוי שיש 7*14 ס""מ",לא ידוע,"סולתם - פיקולו קלחת מיני ציפוי שיש 7*14 ס""מ",1,1 יח'
7290109203379,סליידר - סט בקבוקים וצנצנות לטיולים 7 חלקים דגם 3757,לא ידוע,סליידר - סט בקבוקים וצנצנות לטיולים 7 חלקים דגם 3757,7,1 יח'
7290109923185,אסטוניש - טבליות הפלא לניקוי האסלה בניחוח ורדים 8 יח',לא ידוע,אסטוניש - טבליות הפלא לניקוי האסלה בניחוח ורדים 8 יח',8,1 יח'
7290109923529,"דזיטול - רסס נגב רב תכליתי מנקה ומחטא 750 מ""ל",לא ידוע,"דזיטול - רסס נגב רב תכליתי מנקה ומחטא 750 מ""ל",750,"100 מ""ל"
